employee_id,name,email,country,experience_years,primary_skill,salary_usd
1,Jenny Warren,johnneal@hotmail.com,Sweden,11,ChromaDB,126690
2,Patricia Garza,aprilclark@yahoo.com,Vietnam,4,Machine Learning,80089
3,Donald Black,anita29@hotmail.com,United States of America,14,Vector Databases,150818
4,Lisa Wiggins,charles12@gmail.com,Switzerland,6,Python,149465
5,Terry Hensley,alison61@hotmail.com,Ghana,3,ChromaDB,147118
6,Jesus Huang,reneelambert@hotmail.com,Bahrain,13,Python,109472
7,David Thomas,shardy@hotmail.com,Tajikistan,5,Prompt Engineering,134161
8,Hannah Taylor,lewischristopher@yahoo.com,Lebanon,6,Vector Databases,140058
9,Carol Clark,sean90@gmail.com,Nauru,2,ChromaDB,41928
10,Caitlin Johnson,mlopez@james.com,Palestinian Territory,8,RAG,132684
11,Benjamin Chen,jonesnicholas@yahoo.com,Eritrea,3,NLP,114159
12,Kristine Becker,johnjones@yahoo.com,Jersey,6,Deep Learning,82998
13,Joe Bradford,jonathan83@hotmail.com,Sudan,1,Deep Learning,48465
14,Jennifer Kaiser,sandra27@howard-hawkins.com,Italy,0,RAG,154415
15,Ashley Ramirez,nramirez@hotmail.com,Guam,4,Prompt Engineering,178498
16,Paul Willis,anthony60@hotmail.com,Mexico,0,ChromaDB,108244
17,Angela Gross,selenacook@gmail.com,Qatar,15,FAISS,149469
18,Adrian Montgomery,amycampos@gmail.com,Cook Islands,1,FAISS,111148
19,Karina Pittman,ksantiago@norris-graves.com,Qatar,10,Deep Learning,109996
20,Kristen Coleman,curtis75@rose.org,San Marino,8,Machine Learning,84614
21,Hannah Vega,udavis@parker.com,Aruba,14,LangChain,103703
22,Steven Allen,iburch@yahoo.com,Bosnia and Herzegovina,10,FAISS,40023
23,Mary Carr,shawn80@campbell-robertson.info,Micronesia,12,Vector Databases,171225
24,Travis Johnson,anthony69@yahoo.com,Hungary,8,Python,176598
25,Scott Stewart,sharon90@ball.com,Thailand,13,Vector Databases,99814
26,Logan Kennedy,vcalderon@yahoo.com,Gibraltar,5,Python,48348
27,Angela Cooper,smithjennifer@gmail.com,Kazakhstan,4,Prompt Engineering,142289
28,Erika Young,nataliehamilton@jones.com,Northern Mariana Islands,10,LangChain,160814
29,Maria Douglas,rpage@yahoo.com,Dominica,0,FAISS,97739
30,Michelle Roberts,karen58@gmail.com,French Polynesia,4,Prompt Engineering,83189
31,Tanner Hahn,bentonsharon@evans-wyatt.com,Turkmenistan,3,NLP,99843
32,Mr. James Chandler,nichole71@logan.com,Palestinian Territory,5,NLP,102741
33,Carlos Walton,riverakerri@marshall.com,French Guiana,12,Prompt Engineering,149715
34,Janice Meyer,kwaters@cook-howard.info,Botswana,4,Python,98572
35,Paula Turner,donna27@gmail.com,Saint Kitts and Nevis,10,RAG,124372
36,Jessica Espinoza,kimberly40@yahoo.com,Syrian Arab Republic,2,Vector Databases,128520
37,Jacqueline Hardy MD,melanie65@robinson.org,Rwanda,10,Deep Learning,53892
38,Christopher Dodson,armstrongaaron@yahoo.com,Palestinian Territory,2,Vector Databases,137784
39,Nathan Curry,nicoleramos@williams-mckinney.com,Venezuela,3,Prompt Engineering,68288
40,Samantha Huffman,richard98@greene.org,Swaziland,15,Prompt Engineering,146237
41,Todd Bentley,torresryan@mills.net,Bouvet Island (Bouvetoya),3,NLP,154682
